Module,Strings in tr(),Covered (in en),Coverage %
core/language_manager.py,3,0,0.0
core/resource_utils.py,1,0,0.0
ui/widgets/shadow_utils.py,1,0,0.0
core/hera_config_manager.py,168,7,4.2
core/log_keyword_manager.py,26,2,7.7
core/log_processor.py,63,19,30.2
core/adblog_manager.py,133,43,32.3
core/device_operations.py,112,37,33.0
core/device_info_manager.py,3,1,33.3
core/app_operations_manager.py,229,86,37.6
core/echolocate_manager.py,121,46,38.0
core/tcpdump_manager.py,70,27,38.6
ui/main_window.py,194,76,39.2
core/mtklog_manager.py,159,66,41.5
core/aee_log_manager.py,48,23,47.9
core/custom_button_manager.py,90,44,48.9
ui/widgets/log_viewer.py,32,17,53.1
core/enable_telephony_manager.py,32,19,59.4
ui/custom_button_dialog.py,148,88,59.5
core/log_utilities.py,29,18,62.1
core/google_log_manager.py,53,36,67.9
core/tmo_cc_manager.py,68,47,69.1
ui/menu_bar.py,19,14,73.7
core/utilities.py,42,31,73.8
core/network_info_manager.py,33,25,75.8
ui/tools_config_dialog.py,67,55,82.1
ui/log_keyword_dialog.py,49,42,85.7
ui/toolbar.py,28,24,85.7
core/video_manager.py,24,22,91.7
ui/tabs/network_info_tab.py,29,27,93.1
core/device_manager.py,19,18,94.7
ui/tabs/log_control_tab.py,41,39,95.1
core/screenshot_manager.py,11,11,100.0
ui/input_text_dialog.py,11,11,100.0
ui/tabs/app_operations_tab.py,24,24,100.0
ui/tabs/background_data_tab.py,8,8,100.0
ui/tabs/log_filter_tab.py,26,26,100.0
ui/tabs/other_tab.py,40,40,100.0
ui/tabs/tmo_cc_tab.py,28,28,100.0
ui/tabs/tmo_echolocate_tab.py,10,10,100.0
